"participant","group","handedness","country_born","age_immigrate_US","DELE","age","gender","AoA_L2","en_pc_week","es_pc_week","mo_ES_country"
"ihs01","hs","right","US","na",38,19,"male",6,80,20,NA
"ihs02","hs","right","US","na",37,19,"female",4,50,50,NA
"ihs03","hs","right","Nicaragua","3",34,32,"female",4,90,10,NA
"ihs04","hs","right","US","na",33,19,"female",4,50,50,NA
"ihs05","hs","right","US","na",36,23,"female",3,80,20,NA
"ihs06","hs","right","US","na",28,18,"female",1,40,60,NA
"ihs07","hs","right","US","na",31,19,"male",4,60,40,NA
"ihs08","hs","right","US","na",36,27,"male",4,60,40,NA
"ihs09","hs","right","US","na",33,18,"female",5,50,50,NA
"ihs10","hs","right","US","na",37,31,"male",5,50,50,NA
"ihs11","hs","right","US","na",36,24,"female",1,50,50,NA
"ihs12","hs","right","Mexico","1",30,34,"female",3,90,10,NA
"ihs13","hs","left","US","na",30,31,"female",5,30,70,NA
"ihs14","hs","right","US","na",38,18,"female",4,75,25,NA
"ihs15","hs","right","US","na",38,18,"female ",4,75,25,NA
"ihs16","hs","right","US","na",39,18,"female",4,60,40,NA
"ihs17","hs","right","US","na",32,20,"female",3,50,50,NA
"ihs18","hs","right","Mexico","6",31,34,"male",6,30,70,NA
"ihs20","hs","right","US","na",37,22,"female",4,50,50,NA
"ihs21","hs","right","US","na",39,20,"female",5,70,30,NA
"ihs22","hs","right","US","na",37,20,"female",3,60,40,NA
"ihs24","hs","right","US","na",27,18,"female",4,25,75,NA
"ihs25","hs","right","US","na",35,18,"male",4,80,20,NA
"ihs26","hs","right","US","na",38,20,"female",3,50,50,NA
"ihs27","hs","right","US","na",31,18,"female",4,40,60,NA
"ihs28","hs","right","US","na",33,18,"male",4,70,30,NA
"ihs29","hs","right","US","na",38,18,"female",3,50,50,NA
"ahs01","hs","right","US","na",41,19,"female",4,70,30,NA
"ahs02","hs","right","US","na",43,25,"female",3,50,50,NA
"ahs03","hs","right","US","na",47,34,"female",5,25,75,NA
"ahs04","hs","right","US","na",46,19,"male",4,40,60,NA
"ahs05","hs","right","Mexico","1",41,19,"female",3,60,40,NA
"ahs06","hs","right","Venezuela","8",47,34,"female",8,50,50,NA
"ahs08","hs","right","Mexico","3",46,31,"female",5,75,25,NA
"ahs09","hs","right","Mexico","2",41,33,"male",5,80,20,NA
"ahs10","hs","right","Mexico","3",44,31,"female",4,50,50,NA
"ahs11","hs","right","US","na",44,18,"female",4,40,60,NA
"ahs12","hs","right","Mexico","3",43,18,"female",4,20,80,NA
"ahs13","hs","right","US","na",42,18,"female ",4,50,50,NA
"ahs14","hs","right","US","na",40,31,"male",4,70,30,NA
"ahs15","hs","right","US","na",45,18,"male",4,30,70,NA
"ahs16","hs","right","US","na",44,19,"female",5,40,60,NA
"ahs17","hs","right","US","na",40,28,"female",3,70,30,NA
"ahs18","hs","right","US","na",46,19,"female ",4,70,30,NA
"ahs19","hs","right","US","na",47,20,"male",4,70,30,NA
"ahs20","hs","left","Mexico","1",40,20,"female ",3,60,40,NA
