participant,version,group,country,eye_tracked,vision,DELE ,age,parents_lang,education,gender,handed,AoA_L2,age_fluent_L2,other_lang,mo_ES_country,l1_school,l2_school,expos_baby,expos_child,expos_adult,percent_l1_week,percent_l2_week,sports,sport_length,sport_pro,music,music_length,music_pro,drive,drive_length,WM_set,WM_word_order
IES01,1,ies,us,right,contacts,28,24,yes,undergrad,female,right,22,23,no,24,"E., M., H., U.",no,English,"English, Turkish","English, Turkish, Latin & Spanish",75,25,"cheerleading, kickboxing","10, kb 8 meses",no,"sing, piano, guitar, dance","sg 4, pn 3, gt 1, dnc 12",no,yes,8,9,48
IES02,2,ies,nz,right,normal,26,21,yes,HS,male,right,19,20,no,24,"E., M., H.",no,English,English,"English, Spanish",70,30,rugby,1,no,sing,2,no,no,na,8,49
IES03,3,ies,us,right,glasses,39,24,yes,undergrad,female,right,4,21,no,9,"E., M., H., U.",U.,"English, Italian","English, Spanish","English, Spanish",65,35,"rowing, soccer","rw 2, sc 9",no,"sing, dance","13, dn 3",no,yes,8 (no conduce),9,48
IES04,4,ies,uk,right,normal,32,33,yes,master,female,right,29,32,German,42,"E., M., H., U.",no,English,English,"English, French, German, Spanish",90,10,tennis,11,no,"dance, sing","dn 16, sn 2",no,yes,14 (no conduce),9,49
IES05,1,ies,us,right,normal,35,23,yes,undergrad,male,left ,13,17,no,9,"E., M., H., U.",U.,English,"English, Spanish","English, Spanish",80,20,"tennis, basketball",tn + bb 10,no,drums,5,no,yes,6 (no conduce),11,52
IES06,2,ies,us,right,normal,37,24,yes,undergrad,female,right,13,23,no,17,"E., M., H., U.",U.,English,English,"English, Spanish",80,20,"volleyball, athletics","vb 8, ath 2",no,piano,15,no,yes,8 (no conduce),8,43
IES07,3,ies,us,right,contacts,35,22,yes,undergrad,male,right,12,22,no,5,"E., M., H., U.",U.,English,English,"English, Spanish, German",80,20,"basketball, volleyball","bb 17, vb 11",no,"guitar, piano","gt 1, piano 4",no,yes,16 (no conduce),9,48
IES08,4,ies,us,right,normal,29,21,yes,undergrad,female,right,12,19,no,3,"E., M., H., U.",U.,English,English,"English, Spanish",50,50,"volleyball, soccer","vb 6, sc 10",no,trumpet,2,no,yes,5,10,49
IES09,1,ies,us,right,normal,32,25,yes,undergrad,female,right,16,23,no,10,"E., M., H., U.",U.,English,English,"English, Spanish, German",85,15,"rock climbing, cheerleading, yoga","rc 6, ch 4, yoga 7",no,"guitar, violin, sing, dance","gt 6, vl 5, sn 20, dn 15",no,yes,10 (no conduce),12,54
IES10,2,ies,us,right,normal,34,24,yes,undergrad,female,right,15,20,no,10,"E., M., H., U.",U.,English,English,"English, Spanish",75,25,"soccer, gimnasia","sc 20, gm 10",no,flute,5,no,yes,6 (no conduce),7,48
IES11,3,ies,us,right,normal,38,23,yes,undergrad,female,right,13,19,no,23,"E., M., H., U.",U.,English,"English, Spanish","English, Spanish, Italian, German",60,40,yoga,6,no,dance,dn 12,no,yes ,7 (no conduce),8,44
IES12,4,ies,ca,right,normal,26,30,yes,undergrad,male,right,24,29,no,24,"E., M., H., U.",no,English,English,"English, Spanish, German",80,20,"soccer, rugby, cycling","sc 20, rb 15, 25",no,no,no,no,yes,8 (no conduce),9,49
IES13,1,ies,ir,right,contacts,39,23,yes,undergrad,female,right,13,20,"Irish, German",13,"E., M., H., U.",U.,English,"English, Irish","English, Irish, Spanish, German",80,20,no,no,no,no,no,no,yes,4 (no conduce),7,42
IES14,2,ies,us,right,glasses,30,28,yes,undergrad,female,right,21,24,no,66,"E., M., H., U.",no,"English, Tagalog","English, Tagalog","English, Tagalog, Spanish, French",50,50,"running, crossfit, weightlifting","rn 7, cf 2, wl 6",no,"piano, dance","pn 5, dn 3",no,yes,10 (no conduce),10,52
IES15,3,ies,us,right,glasses,29,23,yes,undergrad,female,right,18,22,no,5,"E., M., H., U.",U.,English,"English, Spanish","English, Spanish, Russian",60,40,"running, weightlifting","rn 7, wl 6",no,viola,7,no,yes,8,6,43
IES16,4,ies,uk,right,normal,35,21,yes,undergrad,female,left ,13,18,French,7,"E., M., H., U.",U.,English,"English, Spanish","English, Spanish, French, German, Japanese",70,30,"tennis, dancing","tn 10, dn 15",no,no,no,no,yes,2,12,54
IES17,1,ies,us,left,normal,24,23,yes,master,female,right,12,16,French,10,"E., M., H., U.",U.,English,English,"English, Spanish, French, Italian, Catalan",90,10,"volleyball, dancing",18 (both),no,no,no,no,yes,7,8,
