word_shown	valid	dummy	response	correct	response_time
platery	false	true	no	yes	11295
denial	true	true	yes	yes	2527
generic	true	true	yes	yes	1544
mensible	false	false	no	yes	4856
scornful	true	false	yes	yes	1527
stoutly	true	false	yes	yes	1616
ablaze	true	false	yes	yes	2255
kermshaw	false	false	yes	no	3583
moonlit	true	false	yes	yes	11384
lofty	true	false	yes	yes	2720
hurricane	true	false	yes	yes	776
flaw	true	false	yes	yes	711
alberation	false	false	yes	no	1176
unkempt	true	false	yes	yes	1712
breeding	true	false	yes	yes	1000
festivity	true	false	no	no	2440
screech	true	false	yes	yes	1328
savoury	true	false	yes	yes	1392
plaudate	false	false	no	yes	2064
shin	true	false	yes	yes	7711
fluid	true	false	yes	yes	799
spaunch	false	false	no	yes	1856
allied	true	false	yes	yes	1087
slain	true	false	yes	yes	855
recipient	true	false	yes	yes	903
exprate	false	false	no	yes	3191
eloquence	true	false	yes	yes	1727
cleanliness	true	false	yes	yes	1271
dispatch	true	false	yes	yes	711
rebondicate	false	false	no	yes	2775
ingenious	true	false	yes	yes	1152
bewitch	true	false	yes	yes	928
skave	false	false	yes	no	2024
plaintively	true	false	yes	yes	7912
kilp	false	false	no	yes	2568
interfate	false	false	yes	no	3032
hasty	true	false	yes	yes	6112
lengthy	true	false	yes	yes	1480
fray	true	false	yes	yes	1288
crumper	false	false	no	yes	2559
upkeep	true	false	yes	yes	1479
majestic	true	false	yes	yes	735
magrity	false	false	no	yes	1375
nourishment	true	false	yes	yes	1159
abergy	false	false	no	yes	2791
proom	false	false	no	yes	4767
turmoil	true	false	yes	yes	1039
carbohydrate	true	false	yes	yes	1120
scholar	true	false	yes	yes	831
turtle	true	false	yes	yes	760
fellick	false	false	no	yes	4543
destription	false	false	no	yes	9144
cylinder	true	false	yes	yes	1000
censorship	true	false	yes	yes	976
celestial	true	false	yes	yes	4560
rascal	true	false	yes	yes	1456
purrage	false	false	yes	no	5847
pulsh	false	false	no	yes	2000
muddy	true	false	yes	yes	1016
quirty	false	false	no	yes	1943
pudour	false	false	no	yes	3063
listless	true	false	no	no	6735
wrought	true	false	yes	yes	2815
