,subject_id,date,handedness,lang,trial_num,sequence,seq_length,formula,correct_resp,subj_form_resp,accuracy_formula,rt_formula
0,ahs22,2020/12/05 13:57:57,right,en,NA,haircut,3,1+1=0,0,0,1,2.294924035000804
1,ahs22,2020/12/05 13:57:57,right,en,NA,"haircut, time",3,1+4=5,1,1,1,1.6031756289994519
2,ahs22,2020/12/05 13:57:57,right,en,NA,"haircut, time, mug",3,1+4=6,0,0,1,4.293068340999525
3,ahs22,2020/12/05 13:57:57,right,en,NA,lizard,3,1+5=6,1,1,1,2.165800290000334
4,ahs22,2020/12/05 13:57:57,right,en,NA,"lizard, dad",3,10-2=8,1,1,1,0.9475473130005412
5,ahs22,2020/12/05 13:57:57,right,en,NA,"lizard, dad, glider",3,10-3=7,1,1,1,1.6769503650011757
6,ahs22,2020/12/05 13:57:57,right,en,NA,couch,3,10-3=8,0,0,1,2.1414500979990407
7,ahs22,2020/12/05 13:57:57,right,en,NA,"couch, trench",3,11-1=10,1,1,1,1.317097647999617
8,ahs22,2020/12/05 13:57:57,right,en,NA,"couch, trench, atom",3,2+2=4,1,1,1,1.629106321001018
9,ahs22,2020/12/05 13:57:57,right,en,NA,spider,4,2+7=6,0,0,1,4.104775474999769
10,ahs22,2020/12/05 13:57:57,right,en,NA,"spider, mud",4,2+7=9,1,1,1,2.293692392000594
11,ahs22,2020/12/05 13:57:57,right,en,NA,"spider, mud, head",4,2+8=10,1,1,1,1.1717755980007496
12,ahs22,2020/12/05 13:57:57,right,en,NA,"spider, mud, head, throne",4,20-5=15,1,1,1,0.9077654869997787
13,ahs22,2020/12/05 13:57:57,right,en,NA,queen,4,3-1=2,1,1,1,1.6878098260003753
14,ahs22,2020/12/05 13:57:57,right,en,NA,"queen, flower",4,3+2=5,1,1,1,0.2854346220010484
15,ahs22,2020/12/05 13:57:57,right,en,NA,"queen, flower, barber",4,3+6=8,0,0,1,3.6541015630009497
16,ahs22,2020/12/05 13:57:57,right,en,NA,"queen, flower, barber, school",4,3+7=10,1,1,1,2.255527612998776
17,ahs22,2020/12/05 13:57:57,right,en,NA,book,4,4-3=2,0,0,1,4.387642257001062
18,ahs22,2020/12/05 13:57:57,right,en,NA,"book, beans",4,4+5=9,1,1,1,1.7933637619989895
19,ahs22,2020/12/05 13:57:57,right,en,NA,"book, beans, chair",4,4+6=10,1,1,1,2.6375387940006476
20,ahs22,2020/12/05 13:57:57,right,en,NA,"book, beans, chair, measure",4,4+7=11,1,1,1,3.3438495410009637
21,ahs22,2020/12/05 13:57:57,right,en,NA,shovel,5,5-1=4,1,1,1,1.3768835189985111
22,ahs22,2020/12/05 13:57:57,right,en,NA,"shovel, port",5,5-2=3,1,1,1,3.1870472990012786
23,ahs22,2020/12/05 13:57:57,right,en,NA,"shovel, port, army",5,5+3=8,1,0,0,2.502318803999515
24,ahs22,2020/12/05 13:57:57,right,en,NA,"shovel, port, army, drill",5,5+3=9,0,1,0,0.9318948710006225
25,ahs22,2020/12/05 13:57:57,right,en,NA,"shovel, port, army, drill, stone",5,5+8=15,0,0,1,6.088583226999617
26,ahs22,2020/12/05 13:57:57,right,en,NA,puma,5,6-4=2,1,1,1,3.289929270000357
27,ahs22,2020/12/05 13:57:57,right,en,NA,"puma, lamp",5,6-4=3,0,0,1,2.8400100660001044
28,ahs22,2020/12/05 13:57:57,right,en,NA,"puma, lamp, farm",5,6+3=11,0,0,1,2.8068018009998923
29,ahs22,2020/12/05 13:57:57,right,en,NA,"puma, lamp, farm, radar",5,6+3=8,0,0,1,4.179083184999399
30,ahs22,2020/12/05 13:57:57,right,en,NA,"puma, lamp, farm, radar, jury",5,7-5=4,0,0,1,3.8819193140006973
31,ahs22,2020/12/05 13:57:57,right,en,NA,phone,5,7+2=10,0,0,1,2.0187420759993984
32,ahs22,2020/12/05 13:57:57,right,en,NA,"phone, stocking",5,7+3=10,1,0,0,1.9417423269987921
