,subject_id,date,handedness,lang,trial_num,sequence,seq_length,formula,correct_resp,subj_form_resp,accuracy_formula,rt_formula
0,ihs01,2020/11/20 12:54:58,right,en,NA,haircut,3,1+1=0,0,0,1,1.4717632840001897
1,ihs01,2020/11/20 12:54:58,right,en,NA,"haircut, time",3,1+4=5,1,1,1,0.5255415399988124
2,ihs01,2020/11/20 12:54:58,right,en,NA,"haircut, time, mug",3,1+4=6,0,0,1,1.4203955299999507
3,ihs01,2020/11/20 12:54:58,right,en,NA,lizard,3,1+5=6,1,1,1,0.37225250999836135
4,ihs01,2020/11/20 12:54:58,right,en,NA,"lizard, dad",3,10-2=8,1,1,1,0.5295625919970917
5,ihs01,2020/11/20 12:54:58,right,en,NA,"lizard, dad, glider",3,10-3=7,1,1,1,0.5555701519988361
6,ihs01,2020/11/20 12:54:58,right,en,NA,couch,3,10-3=8,0,0,1,0.5461277150025126
7,ihs01,2020/11/20 12:54:58,right,en,NA,"couch, trench",3,11-1=10,1,1,1,0.4679837550029333
8,ihs01,2020/11/20 12:54:58,right,en,NA,"couch, trench, atom",3,2+2=4,1,1,1,0.9187140059984813
9,ihs01,2020/11/20 12:54:58,right,en,NA,spider,4,2+7=6,0,0,1,0.4565852679988893
10,ihs01,2020/11/20 12:54:58,right,en,NA,"spider, mud",4,2+7=9,1,1,1,1.465028375001566
11,ihs01,2020/11/20 12:54:58,right,en,NA,"spider, mud, head",4,2+8=10,1,1,1,0.5136056929986808
12,ihs01,2020/11/20 12:54:58,right,en,NA,"spider, mud, head, throne",4,20-5=15,1,1,1,1.1140199980000034
13,ihs01,2020/11/20 12:54:58,right,en,NA,queen,4,3-1=2,1,1,1,2.1871652390000236
14,ihs01,2020/11/20 12:54:58,right,en,NA,"queen, flower",4,3+2=5,1,1,1,0.6534658720011066
15,ihs01,2020/11/20 12:54:58,right,en,NA,"queen, flower, barber",4,3+6=8,0,0,1,1.998072744001547
16,ihs01,2020/11/20 12:54:58,right,en,NA,"queen, flower, barber, school",4,3+7=10,1,1,1,0.193167066998285
17,ihs01,2020/11/20 12:54:58,right,en,NA,book,4,4-3=2,0,0,1,0.3609145650007122
18,ihs01,2020/11/20 12:54:58,right,en,NA,"book, beans",4,4+5=9,1,1,1,0.9852978250019078
19,ihs01,2020/11/20 12:54:58,right,en,NA,"book, beans, chair",4,4+6=10,1,1,1,1.0293346310027118
20,ihs01,2020/11/20 12:54:58,right,en,NA,"book, beans, chair, measure",4,4+7=11,1,1,1,0.7119192140016821
21,ihs01,2020/11/20 12:54:58,right,en,NA,shovel,5,5-1=4,1,1,1,1.0277470389992232
22,ihs01,2020/11/20 12:54:58,right,en,NA,"shovel, port",5,5-2=3,1,1,1,2.4264257969989558
23,ihs01,2020/11/20 12:54:58,right,en,NA,"shovel, port, army",5,5+3=8,1,1,1,0.9178374160001113
24,ihs01,2020/11/20 12:54:58,right,en,NA,"shovel, port, army, drill",5,5+3=9,0,0,1,1.8126232979993802
25,ihs01,2020/11/20 12:54:58,right,en,NA,"shovel, port, army, drill, stone",5,5+8=15,0,0,1,0.7721915129986883
26,ihs01,2020/11/20 12:54:58,right,en,NA,puma,5,6-4=2,1,1,1,1.3138588319998235
27,ihs01,2020/11/20 12:54:58,right,en,NA,"puma, lamp",5,6-4=3,0,0,1,0.5844711239988101
