,subject_id,date,handedness,lang,trial_num,sequence,seq_length,formula,correct_resp,subj_form_resp,accuracy_formula,rt_formula
0,ahs08,2020/11/21 08:46:12,right,es,NA,haircut,3,1+1=0,0,0,1,2.7695602999956463
1,ahs08,2020/11/21 08:46:12,right,es,NA,"haircut, time",3,1+4=5,1,1,1,3.183805257998756
2,ahs08,2020/11/21 08:46:12,right,es,NA,"haircut, time, mug",3,1+4=6,0,0,1,4.911539364999044
3,ahs08,2020/11/21 08:46:12,right,es,NA,lizard,3,1+5=6,1,1,1,1.4935208940005396
4,ahs08,2020/11/21 08:46:12,right,es,NA,"lizard, dad",3,10-2=8,1,1,1,1.254124127997784
5,ahs08,2020/11/21 08:46:12,right,es,NA,"lizard, dad, glider",3,10-3=7,1,1,1,1.4170931639964692
6,ahs08,2020/11/21 08:46:12,right,es,NA,couch,3,10-3=8,0,0,1,4.144278584004496
7,ahs08,2020/11/21 08:46:12,right,es,NA,"couch, trench",3,11-1=10,1,1,1,3.057459884999844
8,ahs08,2020/11/21 08:46:12,right,es,NA,"couch, trench, atom",3,2+2=4,1,0,0,9.558576868999808
9,ahs08,2020/11/21 08:46:12,right,es,NA,spider,4,2+7=6,0,0,1,4.276106197001354
10,ahs08,2020/11/21 08:46:12,right,es,NA,"spider, mud",4,2+7=9,1,1,1,3.250524522998603
11,ahs08,2020/11/21 08:46:12,right,es,NA,"spider, mud, head",4,2+8=10,1,1,1,2.2757998759989277
12,ahs08,2020/11/21 08:46:12,right,es,NA,"spider, mud, head, throne",4,20-5=15,1,1,1,0.98059268900397
13,ahs08,2020/11/21 08:46:12,right,es,NA,queen,4,3-1=2,1,1,1,1.3898068569978932
14,ahs08,2020/11/21 08:46:12,right,es,NA,"queen, flower",4,3+2=5,1,0,0,14.610664512998483
15,ahs08,2020/11/21 08:46:12,right,es,NA,"queen, flower, barber",4,3+6=8,0,0,1,6.466591839998728
16,ahs08,2020/11/21 08:46:12,right,es,NA,"queen, flower, barber, school",4,3+7=10,1,1,1,1.9380745150047005
17,ahs08,2020/11/21 08:46:12,right,es,NA,book,4,4-3=2,0,0,1,3.407547857001191
18,ahs08,2020/11/21 08:46:12,right,es,NA,"book, beans",4,4+5=9,1,1,1,1.4870456419957918
19,ahs08,2020/11/21 08:46:12,right,es,NA,"book, beans, chair",4,4+6=10,1,1,1,3.7498854989971733
20,ahs08,2020/11/21 08:46:12,right,es,NA,"book, beans, chair, measure",4,4+7=11,1,1,1,2.6960075780007173
21,ahs08,2020/11/21 08:46:12,right,es,NA,shovel,5,5-1=4,1,1,1,2.0101181189966155
22,ahs08,2020/11/21 08:46:12,right,es,NA,"shovel, port",5,5-2=3,1,1,1,0.9787789920010255
23,ahs08,2020/11/21 08:46:12,right,es,NA,"shovel, port, army",5,5+3=8,1,1,1,2.052638281995314
24,ahs08,2020/11/21 08:46:12,right,es,NA,"shovel, port, army, drill",5,5+3=9,0,0,1,0.888351009998587
25,ahs08,2020/11/21 08:46:12,right,es,NA,"shovel, port, army, drill, stone",5,5+8=15,0,0,1,4.3830891420002445
26,ahs08,2020/11/21 08:46:12,right,es,NA,puma,5,6-4=2,1,1,1,3.3036739839953952
27,ahs08,2020/11/21 08:46:12,right,es,NA,"puma, lamp",5,6-4=3,0,0,1,2.000530263001565
28,ahs08,2020/11/21 08:46:12,right,es,NA,"puma, lamp, farm",5,6+3=11,0,0,1,4.014502523001283
29,ahs08,2020/11/21 08:46:12,right,es,NA,"puma, lamp, farm, radar",5,6+3=8,0,0,1,3.1914882929995656
30,ahs08,2020/11/21 08:46:12,right,es,NA,"puma, lamp, farm, radar, jury",5,7-5=4,0,0,1,2.587201071997697
31,ahs08,2020/11/21 08:46:12,right,es,NA,phone,5,7+2=10,0,0,1,2.357423524001206
32,ahs08,2020/11/21 08:46:12,right,es,NA,"phone, stocking",5,7+3=10,1,1,1,4.758068315000855
33,ahs08,2020/11/21 08:46:12,right,es,NA,"phone, stocking, toe",5,8-4=4,1,1,1,2.689132100000279
34,ahs08,2020/11/21 08:46:12,right,es,NA,"phone, stocking, toe, pea",5,8-5=2,0,0,1,3.570025175999035
35,ahs08,2020/11/21 08:46:12,right,es,NA,"phone, stocking, toe, pea, pencil",5,8-6=2,1,1,1,4.712773582003138
36,ahs08,2020/11/21 08:46:12,right,es,NA,soldier,6,8+4=10,0,0,1,4.607641454000259
37,ahs08,2020/11/21 08:46:12,right,es,NA,"soldier, cup",6,9-2=7,1,1,1,1.9418155289968126
38,ahs08,2020/11/21 08:46:12,right,es,NA,"soldier, cup, rain",6,9-2=8,0,0,1,2.055166319005366
39,ahs08,2020/11/21 08:46:12,right,es,NA,"soldier, cup, rain, food",6,9-3=8,0,0,1,1.3004730629982078
40,ahs08,2020/11/21 08:46:12,right,es,NA,"soldier, cup, rain, food, pilot",6,1+1=0,0,0,1,1.4455590799989295
41,ahs08,2020/11/21 08:46:12,right,es,NA,"soldier, cup, rain, food, pilot, pond",6,1+4=5,1,1,1,2.0123056279990124
42,ahs08,2020/11/21 08:46:12,right,es,NA,font,6,1+4=6,0,0,1,1.9764907299977494
43,ahs08,2020/11/21 08:46:12,right,es,NA,"font, bear",6,1+5=6,1,1,1,1.6563809220024268
44,ahs08,2020/11/21 08:46:12,right,es,NA,"font, bear, bus",6,10-2=8,1,1,1,0.9039306310005486
45,ahs08,2020/11/21 08:46:12,right,es,NA,"font, bear, bus, dollar",6,10-3=7,1,1,1,1.9012490629975218
46,ahs08,2020/11/21 08:46:12,right,es,NA,"font, bear, bus, dollar, payment",6,10-3=8,0,0,1,2.800946458999533
47,ahs08,2020/11/21 08:46:12,right,es,NA,"font, bear, bus, dollar, payment, beef",6,11-1=10,1,1,1,2.156902523005556
48,ahs08,2020/11/21 08:46:12,right,es,NA,sun,6,2+2=4,1,1,1,1.0723109410027973
49,ahs08,2020/11/21 08:46:12,right,es,NA,"sun, toy",6,2+7=6,0,0,1,3.5444138439997914
50,ahs08,2020/11/21 08:46:12,right,es,NA,"sun, toy, dog",6,2+7=9,1,1,1,3.3927482400031295
51,ahs08,2020/11/21 08:46:12,right,es,NA,"sun, toy, dog, table",6,2+8=10,1,1,1,1.4600488479991327
