,subject_id,date,handedness,lang,trial_num,sequence,seq_length,formula,correct_resp,subj_form_resp,accuracy_formula,rt_formula
0,ae25,2020/07/11 11:51:05,right,en,NA,haircut,3,1+1=0,0,0,1,1.0620700900035445
1,ae25,2020/07/11 11:51:05,right,en,NA,"haircut, time",3,1+4=5,1,1,1,0.7706539979990339
2,ae25,2020/07/11 11:51:05,right,en,NA,"haircut, time, mug",3,1+4=6,0,0,1,1.4532315070027835
3,ae25,2020/07/11 11:51:05,right,en,NA,lizard,3,1+5=6,1,1,1,0.7684056569996756
4,ae25,2020/07/11 11:51:05,right,en,NA,"lizard, dad",3,10-2=8,1,1,1,0.7903573039948242
5,ae25,2020/07/11 11:51:05,right,en,NA,"lizard, dad, glider",3,10-3=7,1,1,1,1.4483816049978486
6,ae25,2020/07/11 11:51:05,right,en,NA,couch,3,10-3=8,0,0,1,0.6683046109974384
7,ae25,2020/07/11 11:51:05,right,en,NA,"couch, trench",3,11-1=10,1,1,1,0.3954643789984402
8,ae25,2020/07/11 11:51:05,right,en,NA,"couch, trench, atom",3,2+2=4,1,1,1,1.375401603996579
9,ae25,2020/07/11 11:51:05,right,en,NA,spider,4,2+7=6,0,0,1,0.6610686479980359
10,ae25,2020/07/11 11:51:05,right,en,NA,"spider, mud",4,2+7=9,1,1,1,1.4971443089962122
11,ae25,2020/07/11 11:51:05,right,en,NA,"spider, mud, head",4,2+8=10,1,1,1,0.44308570999419317
12,ae25,2020/07/11 11:51:05,right,en,NA,"spider, mud, head, throne",4,20-5=15,1,1,1,0.5940495289978571
13,ae25,2020/07/11 11:51:05,right,en,NA,queen,4,3-1=2,1,1,1,0.6645081160022528
14,ae25,2020/07/11 11:51:05,right,en,NA,"queen, flower",4,3+2=5,1,1,1,0.11388438400172163
15,ae25,2020/07/11 11:51:05,right,en,NA,"queen, flower, barber",4,3+6=8,0,0,1,0.6071679189990391
16,ae25,2020/07/11 11:51:05,right,en,NA,"queen, flower, barber, school",4,3+7=10,1,1,1,0.5132830770016881
17,ae25,2020/07/11 11:51:05,right,en,NA,book,4,4-3=2,0,0,1,1.4242395440014661
18,ae25,2020/07/11 11:51:05,right,en,NA,"book, beans",4,4+5=9,1,1,1,1.2199043469954631
19,ae25,2020/07/11 11:51:05,right,en,NA,"book, beans, chair",4,4+6=10,1,1,1,1.2689337679985329
