,subject_id,date,handedness,lang,trial_num,sequence,seq_length,formula,correct_resp,subj_form_resp,accuracy_formula,rt_formula
0,mo19,2020/01/07 16:45:02,right,es,NA,haircut,3,1+1=0,0,1,0,5.174724665999747
1,mo19,2020/01/07 16:45:02,right,es,NA,"haircut, time",3,1+4=5,1,1,1,0.3619598049999695
2,mo19,2020/01/07 16:45:02,right,es,NA,"haircut, time, mug",3,1+4=6,0,0,1,0.4415664499997547
3,mo19,2020/01/07 16:45:02,right,es,NA,lizard,3,1+5=6,1,1,1,0.7669278399998802
4,mo19,2020/01/07 16:45:02,right,es,NA,"lizard, dad",3,10-2=8,1,1,1,1.6580553869998766
5,mo19,2020/01/07 16:45:02,right,es,NA,"lizard, dad, glider",3,10-3=7,1,1,1,0.6812926089996836
6,mo19,2020/01/07 16:45:02,right,es,NA,couch,3,10-3=8,0,0,1,1.0774063820003903
7,mo19,2020/01/07 16:45:02,right,es,NA,"couch, trench",3,11-1=10,1,1,1,0.897209773999748
8,mo19,2020/01/07 16:45:02,right,es,NA,"couch, trench, atom",3,2+2=4,1,1,1,2.380330820000381
9,mo19,2020/01/07 16:45:02,right,es,NA,spider,4,2+7=6,0,0,1,1.2141285299999254
10,mo19,2020/01/07 16:45:02,right,es,NA,"spider, mud",4,2+7=9,1,1,1,0.7530400020000343
11,mo19,2020/01/07 16:45:02,right,es,NA,"spider, mud, head",4,2+8=10,1,1,1,0.7807526369997504
12,mo19,2020/01/07 16:45:02,right,es,NA,"spider, mud, head, throne",4,20-5=15,1,1,1,2.8144209450001654
13,mo19,2020/01/07 16:45:02,right,es,NA,queen,4,3-1=2,1,1,1,0.7354830669996772
14,mo19,2020/01/07 16:45:02,right,es,NA,"queen, flower",4,3+2=5,1,1,1,1.0919544259995746
15,mo19,2020/01/07 16:45:02,right,es,NA,"queen, flower, barber",4,3+6=8,0,0,1,4.934399101000054
16,mo19,2020/01/07 16:45:02,right,es,NA,"queen, flower, barber, school",4,3+7=10,1,1,1,5.2028549880001265
17,mo19,2020/01/07 16:45:02,right,es,NA,book,4,4-3=2,0,0,1,0.45909814999959053
18,mo19,2020/01/07 16:45:02,right,es,NA,"book, beans",4,4+5=9,1,1,1,0.9340139769997222
19,mo19,2020/01/07 16:45:02,right,es,NA,"book, beans, chair",4,4+6=10,1,1,1,1.0842526940000425
20,mo19,2020/01/07 16:45:02,right,es,NA,"book, beans, chair, measure",4,4+7=11,1,1,1,2.2923667439999917
21,mo19,2020/01/07 16:45:02,right,es,NA,shovel,5,5-1=4,1,1,1,0.42531676299995524
22,mo19,2020/01/07 16:45:02,right,es,NA,"shovel, port",5,5-2=3,1,1,1,2.002459216000261
23,mo19,2020/01/07 16:45:02,right,es,NA,"shovel, port, army",5,5+3=8,1,1,1,1.3873732209999616
24,mo19,2020/01/07 16:45:02,right,es,NA,"shovel, port, army, drill",5,5+3=9,0,0,1,9.095916501999909
25,mo19,2020/01/07 16:45:02,right,es,NA,"shovel, port, army, drill, stone",5,5+8=15,0,0,1,4.677686859000005
26,mo19,2020/01/07 16:45:02,right,es,NA,puma,5,6-4=2,1,0,0,3.144555354000204
27,mo19,2020/01/07 16:45:02,right,es,NA,"puma, lamp",5,6-4=3,0,1,0,2.3471929929996804
28,mo19,2020/01/07 16:45:02,right,es,NA,"puma, lamp, farm",5,6+3=11,0,0,1,1.4792092550001144
29,mo19,2020/01/07 16:45:02,right,es,NA,"puma, lamp, farm, radar",5,6+3=8,0,1,0,1.1293996670001434
30,mo19,2020/01/07 16:45:02,right,es,NA,"puma, lamp, farm, radar, jury",5,7-5=4,0,0,1,3.1120822440002485
31,mo19,2020/01/07 16:45:02,right,es,NA,phone,5,7+2=10,0,0,1,1.7383925750000344
32,mo19,2020/01/07 16:45:02,right,es,NA,"phone, stocking",5,7+3=10,1,1,1,3.3762206080000396
33,mo19,2020/01/07 16:45:02,right,es,NA,"phone, stocking, toe",5,8-4=4,1,1,1,2.344884974999786
34,mo19,2020/01/07 16:45:02,right,es,NA,"phone, stocking, toe, pea",5,8-5=2,0,0,1,2.968928333000349
35,mo19,2020/01/07 16:45:02,right,es,NA,"phone, stocking, toe, pea, pencil",5,8-6=2,1,1,1,3.077231813999788
36,mo19,2020/01/07 16:45:02,right,es,NA,soldier,6,8+4=10,0,0,1,3.0569307030000346
37,mo19,2020/01/07 16:45:02,right,es,NA,"soldier, cup",6,9-2=7,1,1,1,2.2037668889997803
38,mo19,2020/01/07 16:45:02,right,es,NA,"soldier, cup, rain",6,9-2=8,0,0,1,2.348371973000212
39,mo19,2020/01/07 16:45:02,right,es,NA,"soldier, cup, rain, food",6,9-3=8,0,0,1,1.456114863000039
40,mo19,2020/01/07 16:45:02,right,es,NA,"soldier, cup, rain, food, pilot",6,1+1=0,0,0,1,2.789425768000001
41,mo19,2020/01/07 16:45:02,right,es,NA,"soldier, cup, rain, food, pilot, pond",6,1+4=5,1,1,1,1.2173827810001967
42,mo19,2020/01/07 16:45:02,right,es,NA,font,6,1+4=6,0,0,1,0.8131244730002436
43,mo19,2020/01/07 16:45:02,right,es,NA,"font, bear",6,1+5=6,1,1,1,0.39708545199982836
44,mo19,2020/01/07 16:45:02,right,es,NA,"font, bear, bus",6,10-2=8,1,1,1,2.1113895460002823
45,mo19,2020/01/07 16:45:02,right,es,NA,"font, bear, bus, dollar",6,10-3=7,1,1,1,4.120381077000275
46,mo19,2020/01/07 16:45:02,right,es,NA,"font, bear, bus, dollar, payment",6,10-3=8,0,1,0,2.4850401749999946
47,mo19,2020/01/07 16:45:02,right,es,NA,"font, bear, bus, dollar, payment, beef",6,11-1=10,1,1,1,2.7883837939998557
48,mo19,2020/01/07 16:45:02,right,es,NA,sun,6,2+2=4,1,1,1,0.35302202200000465
49,mo19,2020/01/07 16:45:02,right,es,NA,"sun, toy",6,2+7=6,0,0,1,1.4015299970001251
50,mo19,2020/01/07 16:45:02,right,es,NA,"sun, toy, dog",6,2+7=9,1,1,1,0.7927174290002768
51,mo19,2020/01/07 16:45:02,right,es,NA,"sun, toy, dog, table",6,2+8=10,1,1,1,1.1362412370003767
52,mo19,2020/01/07 16:45:02,right,es,NA,"sun, toy, dog, table, eye",6,20-5=15,1,1,1,0.7328205989997514
53,mo19,2020/01/07 16:45:02,right,es,NA,"sun, toy, dog, table, eye, bowling",6,3-1=2,1,1,1,0.7159838490001675
