,subject_id,date,handedness,lang,trial_num,sequence,seq_length,formula,correct_resp,subj_form_resp,accuracy_formula,rt_formula
0,us02,2019/12/13 09:59:01,right,en,NA,haircut,3,1+1=0,0,0,1,0.7602601880207658
1,us02,2019/12/13 09:59:01,right,en,NA,"haircut, time",3,1+4=5,1,1,1,0.6588790860259905
2,us02,2019/12/13 09:59:01,right,en,NA,"haircut, time, mug",3,1+4=6,0,0,1,1.2553582970285788
3,us02,2019/12/13 09:59:01,right,en,NA,lizard,3,1+5=6,1,1,1,0.5590023830300197
4,us02,2019/12/13 09:59:01,right,en,NA,"lizard, dad",3,10-2=8,1,1,1,0.6421834779903293
5,us02,2019/12/13 09:59:01,right,en,NA,"lizard, dad, glider",3,10-3=7,1,1,1,1.1394882310414687
6,us02,2019/12/13 09:59:01,right,en,NA,couch,3,10-3=8,0,0,1,0.8954294810537249
7,us02,2019/12/13 09:59:01,right,en,NA,"couch, trench",3,11-1=10,1,1,1,0.607846571947448
8,us02,2019/12/13 09:59:01,right,en,NA,"couch, trench, atom",3,2+2=4,1,1,1,0.7864885129965842
9,us02,2019/12/13 09:59:01,right,en,NA,spider,4,2+7=6,0,0,1,0.5637800809927285
10,us02,2019/12/13 09:59:01,right,en,NA,"spider, mud",4,2+7=9,1,1,1,1.323451771051623
11,us02,2019/12/13 09:59:01,right,en,NA,"spider, mud, head",4,2+8=10,1,1,1,0.9513146029785275
12,us02,2019/12/13 09:59:01,right,en,NA,"spider, mud, head, throne",4,20-5=15,1,1,1,0.9999896379886195
13,us02,2019/12/13 09:59:01,right,en,NA,queen,4,3-1=2,1,1,1,0.9167191740125418
14,us02,2019/12/13 09:59:01,right,en,NA,"queen, flower",4,3+2=5,1,1,1,0.6836072750156745
15,us02,2019/12/13 09:59:01,right,en,NA,"queen, flower, barber",4,3+6=8,0,0,1,0.5759295859606937
16,us02,2019/12/13 09:59:01,right,en,NA,"queen, flower, barber, school",4,3+7=10,1,1,1,0.5668245810084045
17,us02,2019/12/13 09:59:01,right,en,NA,book,4,4-3=2,0,0,1,0.7388455109903589
18,us02,2019/12/13 09:59:01,right,en,NA,"book, beans",4,4+5=9,1,1,1,1.0628480339655653
19,us02,2019/12/13 09:59:01,right,en,NA,"book, beans, chair",4,4+6=10,1,1,1,1.5398243659874424
20,us02,2019/12/13 09:59:01,right,en,NA,"book, beans, chair, measure",4,4+7=11,1,1,1,0.9021213710075244
21,us02,2019/12/13 09:59:01,right,en,NA,shovel,5,5-1=4,1,1,1,1.2044662240659818
22,us02,2019/12/13 09:59:01,right,en,NA,"shovel, port",5,5-2=3,1,1,1,1.6118405930465087
