participant,3wordset1_eng_correct,3wordset1_eng_order,3wordset2_eng_correct,3wordset2_eng_order,3wordset3_eng_correct,3wordset3_eng_order,4wordset1_eng_correct,4wordset1_eng_order,4wordset2_eng_correct,4wordset2_eng_order,4wordset3_eng_correct,4wordset3_eng_order,5wordset1_eng_correct,5wordset1_eng_order,5wordset2_eng_correct,5wordset2_eng_order,5wordset3_eng_correct,5wordset3_eng_order,6wordset1_eng_correct,6wordset1_eng_order,6wordset2_eng_correct,6wordset2_eng_order,6wordset3_eng_correct,6wordset3_eng_order,engwords_correct,engwords_missed,totaleng_words
ihs01,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,1,4,4,5,5,,,
ihs02,3,3,3,3,3,3,3,3,4,4,3,3,3,3,4,2,3,3,3,3,3,3,3,3,,,
ihs03,2,2,3,3,2,2,2,2,4,4,4,4,4,1,5,5,5,5,4,2,4,2,5,5,,,
ihs04,2,0,2,2,2,2,2,0,4,4,2,2,3,2,3,2,2,0,2,0,3,3,4,4,,,
ihs05,3,2,3,3,2,0,3,2,4,2,2,0,3,0,3,2,1,1,3,0,2,0,3,0,,,
ihs06,2,0,3,3,3,3,2,2,4,4,4,4,5,5,4,4,3,3,1,1,2,0,3,3,,,
ihs07,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,4,4,5,1,6,6,6,6,,,
ihs08,3,3,3,3,3,3,3,1,2,0,2,0,3,1,2,2,1,1,3,0,2,0,3,3,,,
ihs09,3,3,3,3,3,3,4,4,4,4,4,2,4,4,2,2,3,3,6,6,3,3,5,5,,,
ihs10,1,1,3,1,2,2,3,0,2,0,2,2,3,0,3,0,3,2,4,2,3,0,4,2,,,
ihs11,2,2,3,3,2,2,4,4,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,0,,,
ihs12,3,3,3,3,3,3,4,4,4,2,4,4,5,5,5,5,4,4,5,5,6,6,6,6,,,
ihs13,3,3,3,3,3,3,3,3,3,3,4,2,3,2,4,2,4,4,2,2,5,3,4,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ihs15,3,3,3,3,2,2,3,3,4,4,3,1,3,3,2,2,4,4,2,2,3,3,5,5,,,
ihs16,3,3,3,3,3,3,4,4,4,4,3,3,4,4,3,3,4,2,4,2,3,3,4,1,,,
ihs17,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,6,6,5,5,6,2,,,
ihs18,3,1,2,0,3,2,4,4,3,0,2,2,4,4,3,3,4,2,4,3,4,4,3,2,,,
ihs19,2,2,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,0,4,0,5,3,,,
ihs20,3,3,2,2,2,0,2,2,3,3,2,0,2,0,3,1,4,4,4,0,3,1,4,0,,,
ihs21,3,1,3,3,2,2,3,3,4,4,4,4,4,4,4,4,4,4,5,5,6,6,6,4,,,
ihs22,2,2,2,2,3,3,4,4,3,0,3,1,3,2,2,0,2,0,3,3,5,5,4,4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ihs24,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,6,6,5,5,6,6,,,
