participant,3wordset1_span_correct,3wordset1_span_order,3wordset2_span_correct,3wordset2_span_order,3wordset3_span_correct,3wordset3_span_order,4wordset1_span_correct,4wordset1_span_order,4wordset2_span_correct,4wordset2_span_order,4wordset3_span_correct,4wordset3_span_order,5wordset1_span_correct,5wordset1_span_order,5wordset2_span_correct,5wordset2_span_order,5wordset3_span_correct,5wordset3_span_order,6wordset1_span_correct,6wordset1_span_order,6wordset2_span_correct,6wordset2_span_order,6wordset3_span_correct,6wordset3_span_order,spanwords_correct,spanwords_missed,totalspan_words
ihs01,3,1,3,3,1,1,2,2,2,2,1,1,2,2,2,2,2,2,4,4,3,3,5,3,,,
ihs02,3,3,3,3,1,1,2,2,3,3,2,2,2,0,3,3,1,1,3,3,2,2,2,2,,,
ihs03,2,2,3,3,2,2,3,3,3,3,2,2,1,1,3,3,4,2,4,4,3,3,3,3,,,
ihs04,1,1,3,1,1,1,2,0,1,1,2,2,2,0,1,1,2,2,2,2,2,2,3,2,,,
ihs05,1,1,3,2,2,0,2,0,2,2,2,0,1,1,2,2,1,1,3,0,2,0,3,0,,,
ihs06,3,3,2,0,2,2,4,4,3,1,3,3,1,1,1,1,2,2,1,1,3,3,2,2,,,
ihs07,1,1,3,3,2,2,2,2,3,3,2,0,2,0,2,2,3,3,6,6,4,4,4,4,,,
ihs08,2,2,3,1,3,1,3,3,1,1,2,2,1,1,0,0,1,1,3,0,2,2,2,0,,,
ihs09,3,3,3,3,2,2,3,3,4,4,3,0,3,3,3,3,4,4,3,3,1,1,4,3,,,
ihs10,2,2,3,3,2,2,3,3,4,2,2,2,3,2,4,0,2,0,5,0,6,0,4,2,,,
ihs11,0,0,1,1,0,0,1,1,2,2,1,1,1,1,1,1,4,0,2,0,2,2,2,2,,,
ihs12,2,2,3,3,3,3,4,4,4,4,3,3,4,0,4,4,3,2,5,5,5,5,5,4,,,
ihs13,3,3,2,2,3,3,3,3,4,4,3,1,4,2,4,0,3,0,4,0,4,0,3,2,,,
ihs15,2,2,3,3,2,2,2,2,1,1,2,2,2,0,2,0,3,1,3,3,3,3,3,1,,,
ihs16,3,3,3,3,2,2,3,3,4,2,3,3,2,2,2,2,4,4,4,3,1,1,2,2,,,
ihs17,3,3,3,3,2,2,3,3,4,4,3,3,2,2,5,2,1,1,4,2,4,2,6,4,,,
ihs18,3,2,3,0,2,0,2,0,2,0,2,0,4,0,2,0,3,0,2,0,2,2,2,0,,,
ihs19,2,2,2,2,1,1,2,2,2,0,1,1,1,1,2,2,2,2,1,1,0,0,2,0,,,
ihs21,3,3,3,3,3,3,4,0,4,4,4,4,5,5,4,4,4,4,6,0,4,4,6,6,,,
ihs22,3,1,3,3,2,2,2,2,4,4,3,3,3,3,1,1,3,3,2,2,3,3,2,0,,,
